,Unnamed: 0,amr,Min_dist,text
0,0,"(g1 / grant-01
    :ARG3 (p / person
             :ARG3-of (h / have-org-role-91
                         :ARG3 (j / judge-01))
             :mod (f / federal)
             :ARG0-of (b / break-18))
    :ARG1 (p2 / permit-01
              :ARG0 p
              :ARG1 (s / subpoena-01
                       :ARG0 p
                       :ARG1 (p3 / person
                                 :name (n / name
                                          :op1 ""Trump"")))))",0.849452614091254,Federal judges who broke the law were granted permission to subpoena Trump.
1,1,"(h / have-org-role-91
   :ARG0 (p1 / person-01
             :mod (f / federal)
             :ARG0-of (b / break-18)
             :ARG0-of (p2 / permit-01
                          :ARG1 (s / subpoena-01
                                   :ARG0 p1
                                   :ARG1 (p3 / person
                                             :name (n / name
                                                      :op1 ""Trump""))))
             :ARG0-of (d / deed_over-01
                         :ARG1 p2))
   :ARG2 (j1 / judge-01))",0.4498284755212207,The judge was a federal thief who permitted subpoenas for Trump and deed over him.
2,2,"(d / decapitate-01
   :ARG0 (c / country
            :name (n / name
                     :op1 ""Saudi""
                     :op2 ""Arabia""))
   :ARG1 (f1 / female_child-01
             :quant 6
             :mod (s1 / school-01))
   :ARG1-of (c2 / cause-01
                :ARG0 (a / accompany-01
                         :ARG0 f1
                         :ARG1 (p / person
                                  :ARG0-of (h / have-rel-role-91
                                              :ARG1 f1
                                              :ARG2 (f / friend))
                                  :mod (m / male))
                         :manner (o / or
                                    :op1 (p2 / person
                                             :ARG0-of h
                                             :polarity -
                                             :ARG1 f1
                                             :ARG2 (p3 / parent)))
                         :op2 (p4 / person
                                  :ARG0-of (g2 / guard-01)))))",0.6317904394805433,Saudi Arabia decapitated 6 schoolchildren because they were with their male friends without parents or guardians.
3,3,"(d / decollate-01
   :ARG0 (c / country
            :name (n / name
                     :op1 ""Saudi""
                     :op2 ""Arabia""))
   :ARG1 (g / girl
            :quant 6
            :mod (s / school))
   :ARG1-of (c2 / cause-01
                :ARG0 (a / accompany-01
                         :ARG0 g
                         :ARG1 (p / person
                                  :ARG0-of (h / have-rel-role-91
                                              :ARG1 g
                                              :ARG2 (f / friend))
                                  :mod (m / male))
                         :manner (o / or
                                    :op1 (p2 / person
                                             :ARG0-of h
                                             :polarity -
                                             :ARG1 g
                                             :ARG2 (p3 / parent)))
                         :op2 (p4 / person
                                  :ARG0-of (g2 / guard-01)))))",0.8726887157442588,Saudi Arabia decollates 6 school girls because they were with their male friends without parents or guardians.
4,4,"(d / decapitate-01
   :ARG0 (c / country
            :name (n / name
                     :op1 ""Saudi""
                     :op2 ""Arabia""))
   :ARG1 (g1 / girl-01
             :quant 6
             :mod (s / school))
   :ARG1-of (c2 / cause-01
                :ARG0 (a / accompany-01
                         :ARG0 g1
                         :ARG1 (p / person
                                  :ARG0-of (h / have-rel-role-91
                                              :ARG1 g1
                                              :ARG2 (f / friend))
                                  :mod (m / male))
                         :manner (o / or
                                    :op1 (p2 / person
                                             :ARG0-of h
                                             :polarity -
                                             :ARG1 g1
                                             :ARG2 (p3 / parent)))
                         :op2 (p4 / person
                                  :ARG0-of (g2 / guard-01)))))",0.6441886492116782,Saudi Arabia decapitated 6 school girls because she was with a male friend without her parents or guardians.
5,5,"(s / suit-01
   :ARG1 (b1 / behead-01
             :ARG4 (c / country
                      :name (n / name
                               :op1 ""Saudi""
                               :op2 ""Arabia""))
             :ARG1 (l / lady_friend-01
                      :quant 6
                      :mod (c1 / cultivate-01)))
   :ARG0 (a1 / accompany-01
             :ARG0 l
             :ARG1 (p1 / person-01
                       :ARG0-of (h / have-rel-role-91
                                   :ARG1 l
                                   :ARG2 (b2 / booster-01))
                       :mod (m / male))
             :manner (o / or
                        :op1 (p2 / person
                                 :ARG0-of h
                                 :polarity -
                                 :ARG1 l
                                 :ARG2 (p3 / parent)))
             :op2 (p4 / person
                      :ARG0-of (g2 / guard-01))))",0.4409537486188656,Beheading six cultivating ladies is suited to them with male boosters without parents or guardians.
6,6,"(a / abominable-01
   :ARG3 (s / somebody-01
            :name (n / name
                     :op1 ""Keanu""))
   :ARG2 (b / ban-01
            :ARG1 (t2 / travel-01)
            :ARG2 (p2 / person
                      :name (n2 / name
                                :op1 ""Trump"")))
   :mod (j / just))",0.5255202340594246,It's just an abomination that somebody like Keanu would have banned travel from Trump.
7,7,"(f / fearsome-01
   :ARG3 (p1 / person-01
             :name (n / name
                      :op1 ""Keanu""))
   :ARG1 (b / ban-01
            :ARG1 (t2 / travel-01)
            :ARG2 (p2 / person
                      :name (n2 / name
                                :op1 ""Trump"")))
   :mod (j / just))",0.5255202340594246,Keanu is just fearsome about Trump's travel ban.
8,8,"(u1 / update-01
    :ARG2 (l1 / list-01
              :ARG1 (p1 / person-01
                        :name (n / name
                                 :op1 ""Rick""
                                 :op2 ""Scott"")
                        :ARG0-of (h / have-org-role-91
                                    :ARG1 (n1 / nation-01
                                              :name (n2 / name
                                                        :op1 ""Florida""))
                                    :ARG2 (g / governor)))
              :ARG2 (n3 / number
                        :quant 8216
                        :ARG1-of (c / critical-02))
              :time (n4 / now)
              :time (a / after
                       :op1 (a2 / accident
                                :mod (c2 / clean-up-02
                                         :ARG0 (h2 / hurricane))
                                :mod (b / bizarre)))))",0.5981163628736307,"Update: Florida Gov. Rick Scott's critical number now stands at 8,216 after bizarre hurricane cleanup accident."
9,9,"(c / critical-02
   :ARG1 (n3 / number
             :ARG2-of (t / tilt-01
                         :time (n4 / now)
                         :time (a / after
                                  :op1 (a2 / accident
                                           :mod (c2 / clean-up-02
                                                    :ARG0 (h2 / hurricane))
                                           :mod (b / bizarre)))
                         :ARG1-of (u1 / update-01)
                         :ARG1 (m / mortal-01
                                  :name (n / name
                                           :op1 ""Rick""
                                           :op2 ""Scott"")
                                  :ARG0-of (h / have-org-role-91
                                              :ARG1 (s / state
                                                       :name (n2 / name
                                                                 :op1 ""Florida""))
                                              :ARG2 (g / governor))))
             :quant 8216))",0.5825244904424213,The number now tilting critical after a bizarre hurricane cleanup accident is the 8216th Florida Governor Mortal Rick Scott.
