,Unnamed: 0,amr,Min_dist,text
0,0,"(d / declare-02
   :ARG0 (t / team
            :mod (l / league
                    :name (n / name
                             :op1 ""NFL""))
            :ord (o / ordinal-entity
                    :value 1)
            :ARG3-of (b / break-18))
   :ARG0 (b2 / bankrupt-01
             :ARG4 t
             :ARG0-of (c / cause-01
                         :ARG2 (k / kneel-01
                                  :ARG3 t
                                  :ARG1 (t2 / thug)))))",0.561125260900084,The first NFL team to declare bankruptcy on the knees of thugs.
1,1,"(o / order-01
   :ARG3 (c / court)
   :ARG1 (p / pay-01
            :ARG3 (p2 / person
                      :name (n / name
                               :op1 ""Obama""))
            :ARG4 (m / monetary-quantity
                     :quant 400000000
                     :unit (d / dollar))
            :ARG3 (r / restitution)))",0.5713559434566053,The court ordered Obama to pay $400 million in restitution.
4,4,"(u / update-02
   :ARG3 (w / work-09
            :ARG4 (p / person
                     :name (n / name
                              :op1 ""Roy""
                              :op2 ""Moore"")
                     :ARG0-of (a / accuse-01))
            :ARG0 (p2 / person
                      :name (n2 / name
                                :op1 ""Michelle""
                                :op2 ""Obama""))
            :time (n3 / now
                      :mod (r / right))))",0.7400620409896731,"Update: The accuser, Roy Moore, is working for Michelle Obama right now."
5,5,"(a / accuse-01
   :ARG1 (p / person
            :ARG1-of (o / oeuvre-01
                        :ARG2 (p2 / person
                                  :name (n2 / name
                                            :op1 ""Michelle""
                                            :op2 ""Obama""))
                        :time (n3 / now
                                  :mod (r / right))
                        :ARG1-of (u1 / update-01))
            :name (n / name
                     :op1 ""Roy""
                     :op2 ""Moore"")))",0.560676300751719,"The accusation is against Roy Moore, the updated oeuvre of Michelle Obama right now."
7,7,"(u1 / update-01
    :ARG0 (c / crop-01
             :ARG0 (m / mortal-01
                      :name (n / name
                               :op1 ""Roy""
                               :op2 ""Moore"")
                      :ARG2-of (a / accuse-01))
             :ARG3 (p2 / person
                       :name (n2 / name
                                 :op1 ""Michelle""
                                 :op2 ""Obama""))
             :time (n3 / now
                       :mod (r / right))))",0.4075642170497255,Update: The accusatory Roy Moore cropped up on Michelle Obama right now.
8,8,"(a1 / attempt-01
    :ARG2 (p / person
             :name (n / name
                      :op1 ""Oscar""
                      :op2 ""Pistorius""))
    :ARG0 (c / commit-02
             :ARG0 p
             :ARG1 (s / suicide)))",0.7070132447864601,Oscar Pistorius attempted suicide.
9,9,"(a / attempt-01
   :ARG1 (p / person
            :name (n / name
                     :op1 ""Oscar""
                     :op2 ""Pistorius""))
   :ARG1 (c / commit-02
            :ARG0 p
            :ARG1 (s / suicide)))",0.8932765553109587,Oscar Pistorius attempted to commit suicide.
10,10,"(s1 / set_about-01
    :ARG4 (p / person
             :name (n / name
                      :op1 ""Oscar""
                      :op2 ""Pistorius""))
    :ARG1 (c / commit-02
             :ARG0 p
             :ARG1 (s / suicide)))",0.6709121258197487,Oscar Pistorius was set about committed suicide.
11,11,"(v / vote-01
   :ARG0 (p / person
            :name (n / name
                     :op1 ""Trump""))
   :ARG1 (p2 / penalize-01
             :ARG1 p
             :ARG2 (g / gay-01)
             :mod (d / die-01)))",1.0,Trump voted to have gays penalized by death.
12,12,"(v1 / vote-01
    :ARG2 (s / somebody-01
             :name (n / name
                      :op1 ""Trump""))
    :ARG1 (p2 / penalize-01
              :ARG1 s
              :ARG2 (g / gay-01)
              :mod (d / die-01)))",0.5430181037811962,somebody voted for a death penalty for being gay.
15,15,"(o / obligate-01
   :ARG1 (s2 / see-01
             :ARG1 (h1 / homo-01
                       :ARG0-of (s1 / say-01
                                    :ARG3 (s3 / somebody-01
                                              :name (n / name
                                                       :op1 ""Putin"")))
                       :polarity -
                       :domain (s4 / soul-01
                                   :name (n2 / name
                                             :op1 ""Pope""
                                             :op2 ""Francis"")
                                   :ARG0-of (h / have-org-role-91
                                               :ARG2 (p3 / pope))))
             :ARG0 (p4 / person
                       :name (n3 / name
                                 :op1 ""God""))))",0.4410915060195647,"The Pope Francis soul must be seen by God not to be a homo, said to somebody like Putin."
16,16,"(o / obligate-01
   :ARG1 (s2 / see-01
             :ARG1 (m / man
                      :ARG0-of (t / tell-01
                                  :ARG0 (p / person
                                           :name (n / name
                                                    :op1 ""Putin"")))
                      :polarity -
                      :domain (p2 / person
                                  :name (n2 / name
                                            :op1 ""Pope""
                                            :op2 ""Francis"")
                                  :ARG3-of (h / have-org-role-91
                                              :ARG2 (p3 / pope))))
             :ARG2 (p4 / person
                       :name (n3 / name
                                 :op1 ""God""))))",0.7365215207374256,Pope Francis must have been seen to God not the man Putin told.
17,17,"(o / obligate-01
   :ARG1 (s2 / see-01
             :ARG3 (m / man
                      :ARG3-of (s / say-01
                                  :ARG0 (p / person
                                           :name (n / name
                                                    :op1 ""Putin"")))
                      :polarity -
                      :domain (p2 / person
                                  :name (n2 / name
                                            :op1 ""Pope""
                                            :op2 ""Francis"")
                                  :ARG0-of (h / have-org-role-91
                                              :ARG0 (p3 / pope))))
             :ARG0 (p4 / person
                       :name (n3 / name
                                 :op1 ""God""))))",0.8035272934726306,"Pope Francis, the Pope, must not be the man God says he is, he is a man of God."
